task,hash,cost,points,n_nodes,status,ops,dsl_rule
124,53b68214,1953,17.42287806912332,28,baseline,Gather:5;Cast:4;Reshape:3;ArgMax:2;Equal:2;Where:2;Concat:2;Slice:1;Less:1;MatMul:1;ReduceMin:1;Add:1;Split:1;ReduceMax:1;Pad:1,"x1 = width(I) | x2 = objects(I, T, T, T) | x3 = first(x2) | x4 = vperiod(x3) | x5 = toivec(x4) | x6 = interval(ZERO, NINE, ONE) | x7 = lbind(multiply, x5) | x8 = apply(x7, x6) | x9 = lbind(shift, x3) | x10 = mapply(x9, x8) | x11 = astuple(x1, x1) | x12 = portrait(x3) | x13 = shape(x3) | x14 = add(DO"
125,543a7ed5,3463,16.850109455597575,13,baseline,MaxPool:5;Add:2;Pad:2;Slice:1;Cast:1;Min:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, SIX) | x3 = mapply(outbox, x2) | x4 = fill(I, THREE, x3) | x5 = mapply(delta, x2) | O = fill(x4, FOUR, x5)"
126,54d82841,605,18.59477154196916,12,baseline,Cast:3;Concat:3;Einsum:1;ReduceMax:1;Sub:1;Equal:1;Xor:1;ScatterND:1,"x1 = height(I) | x2 = objects(I, T, F, T) | x3 = compose(last, center) | x4 = apply(x3, x2) | x5 = decrement(x1) | x6 = lbind(astuple, x5) | x7 = apply(x6, x4) | O = fill(I, FOUR, x7)"
127,54d9e175,1944,17.427497014979615,4,REPAIRED,Slice:1;Cast:1;Conv:1;ConvTranspose:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = compose(neighbors, center) | x4 = fork(recolor, color, x3) | x5 = mapply(x4, x2) | x6 = paint(I, x5) | x7 = replace(x6, ONE, SIX) | x8 = replace(x7, TWO, SEVEN) | x9 = replace(x8, THREE, EIGHT) | O = replace(x9, FOUR, NINE)"
128,5521c0d9,480,18.826213896098064,1,baseline,Einsum:1,"x1 = objects(I, T, F, T) | x2 = merge(x1) | x3 = cover(I, x2) | x4 = chain(toivec, invert, height) | x5 = fork(shift, identity, x4) | x6 = mapply(x5, x1) | O = paint(x3, x6)"
129,5582e5ca,80,20.61797336532612,3,baseline,GlobalAveragePool:1;Hardmax:1;Einsum:1,"x1 = mostcolor(I) | O = canvas(x1, THREE_BY_THREE)"
130,5614dbcf,30,21.598802618337846,1,baseline,Conv:1,"x1 = replace(I, FIVE, ZERO) | O = downscale(x1, THREE)"
131,56dc2b01,3987,16.709205652618643,85,baseline,Where:21;Cast:15;Unsqueeze:11;Add:9;Sub:5;Concat:5;Less:4;GatherND:3;Mod:3;Div:2;TopK:1;ArgMax:1;ReduceSum:1;Greater:1;ReduceMin:1;ReduceMax:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, THREE) | x3 = first(x2) | x4 = ofcolor(I, TWO) | x5 = gravitate(x3, x4) | x6 = first(x5) | x7 = equality(x6, ZERO) | x8 = branch(x7, width, height) | x9 = x8(x3) | x10 = gravitate(x4, x3) | x11 = sign(x10) | x12 = multiply(x11, x9) | x13 = crement(x12)"
132,56ff96f3,4089,16.683944279635355,59,baseline,Gather:10;And:6;Cast:5;Where:4;BitShift:4;Min:4;Max:4;GreaterOrEqual:4;LessOrEqual:4;ReduceMax:2;Slice:2;TopK:2;Flatten:2;Conv:1;GatherElements:1;Mod:1;Add:1;Pad:1;Equal:1,"x1 = fgpartition(I) | x2 = fork(recolor, color, backdrop) | x3 = mapply(x2, x1) | O = paint(I, x3)"
133,57aa92db,33582,14.578254511880585,97,baseline,Where:20;Equal:16;Mod:10;GatherND:10;Div:7;QLinearConv:6;Concat:5;And:5;MaxPool:3;Resize:3;Cast:2;Greater:2;ReduceMax:2;Conv:1;Sub:1;Add:1;Min:1;ScatterND:1;Max:1,"x1 = objects(I, F, T, T) | x2 = objects(I, T, F, T) | x3 = lbind(lbind, colorcount) | x4 = fork(apply, x3, palette) | x5 = compose(maximum, x4) | x6 = compose(minimum, x4) | x7 = fork(subtract, x5, x6) | x8 = argmax(x1, x7) | x9 = leastcolor(x8) | x10 = normalize(x8) | x11 = matcher(first, x9) | x12"
134,5ad4f10b,2284,17.266316429224098,37,baseline,Cast:7;ArgMax:3;Add:3;Concat:3;ReduceMax:2;ReduceSum:2;And:2;Div:2;Mul:2;Gather:2;Slice:2;Greater:1;GreaterOrEqual:1;Xor:1;Unsqueeze:1;Squeeze:1;Where:1;Pad:1,"x1 = objects(I, T, T, T) | x2 = argmax(x1, size) | x3 = color(x2) | x4 = subgrid(x2, I) | x5 = leastcolor(x4) | x6 = replace(x4, x5, ZERO) | x7 = replace(x6, x3, x5) | x8 = height(x7) | x9 = divide(x8, THREE) | O = downscale(x7, x9)"
135,5bd6f4ac,43406,14.32164704061907,1,REPAIRED,Conv:1,"x1 = tojvec(SIX) | O = crop(I, x1, THREE_BY_THREE)"
136,5c0a986e,1213,17.89914809105595,49,baseline,Sub:11;Cast:10;Add:6;Mul:4;Equal:3;Gather:2;Div:2;Mod:2;Greater:2;Less:2;LessOrEqual:2;MaxPool:1;Concat:1;Pad:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, ONE) | x3 = lrcorner(x1) | x4 = ulcorner(x2) | x5 = shoot(x3, UNITY) | x6 = shoot(x4, NEG_UNITY) | x7 = fill(I, TWO, x5) | O = fill(x7, ONE, x6)"
137,5c2c9af4,3526,16.832080637042182,34,baseline,Cast:11;Sub:4;ReduceSum:3;Where:3;ArgMax:2;Less:2;Abs:2;Equal:1;Sqrt:1;Einsum:1;Mean:1;Div:1;Max:1;Mod:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = center(x2) | x4 = ulcorner(x2) | x5 = subtract(x3, x4) | x6 = multiply(NEG_ONE, NINE) | x7 = interval(ZERO, NINE, ONE) | x8 = interval(ZERO, x6, NEG_ONE) | x9 = lbind(multiply, x5) | x10 = apply(x9, x7) | x11 = apply(x9, x8) | x12 = pair(x10, x11) | x1"
138,5daaa586,13961,15.455976993011353,55,baseline,Where:7;Gather:7;Cast:5;ArgMax:4;Squeeze:4;Equal:4;Conv:3;And:3;Pad:2;Add:2;LessOrEqual:2;Sub:2;Less:2;Or:2;Transpose:2;MaxPool:2;Unsqueeze:1;ReduceMax:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = rbind(bordering, I) | x4 = compose(flip, x3) | x5 = extract(x2, x4) | x6 = outbox(x5) | x7 = subgrid(x6, I) | x8 = fgpartition(x7) | x9 = argmax(x8, size) | x10 = color(x9) | x11 = toindices(x9) | x12 = prapply(connect, x11, x11) | x13 = m"
139,60b61512,904,18.193170639607825,9,baseline,ReduceMax:2;Mul:2;Slice:1;Cast:1;BitwiseAnd:1;Concat:1;ConvInteger:1,"x1 = objects(I, T, T, T) | x2 = mapply(delta, x1) | O = fill(I, SEVEN, x2)"
140,6150a2bd,5,23.3905620875659,1,baseline,RoiAlign:1,O = rot180(I)
141,623ea044,1505,17.683451822817023,22,baseline,Einsum:4;Cast:4;Where:3;Less:2;Div:2;Sub:2;Abs:2;Equal:2;Sqrt:1,"x1 = objects(I, T, F, T) | x2 = first(x1) | x3 = center(x2) | x4 = color(x2) | x5 = astuple(UNITY, NEG_UNITY) | x6 = astuple(UP_RIGHT, DOWN_LEFT) | x7 = combine(x5, x6) | x8 = lbind(shoot, x3) | x9 = mapply(x8, x7) | O = fill(I, x4, x9)"
142,62c24649,282,19.358092929061886,2,baseline,Slice:1;Einsum:1,"x1 = vmirror(I) | x2 = hconcat(I, x1) | x3 = hmirror(x2) | O = vconcat(x2, x3)"
143,63613498,838,18.268981899517918,36,baseline,Einsum:8;Cast:5;Mul:4;Mod:4;Equal:3;And:3;Sub:2;Greater:2;Slice:1;Less:1;ReduceSum:1;Or:1;Where:1,"x1 = crop(I, ORIGIN, THREE_BY_THREE) | x2 = ofcolor(x1, ZERO) | x3 = asindices(x1) | x4 = difference(x3, x2) | x5 = normalize(x4) | x6 = objects(I, T, F, T) | x7 = compose(toindices, normalize) | x8 = matcher(x7, x5) | x9 = mfilter(x6, x8) | x10 = fill(I, FIVE, x9) | x11 = asobject(x1) | O = paint(x"
144,6430c8c4,104,20.35560910085863,1,baseline,Conv:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = astuple(FOUR, FOUR) | x4 = ofcolor(x1, ZERO) | x5 = ofcolor(x2, ZERO) | x6 = intersection(x4, x5) | x7 = canvas(ZERO, x3) | O = fill(x7, THREE, x6)"
145,6455b5f5,13215,15.51089217296161,31,baseline,Where:9;MaxPool:6;Cast:3;Equal:3;Add:2;DequantizeLinear:2;Slice:1;Mul:1;ReduceMax:1;ReduceMin:1;And:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = argmax(x1, size) | x4 = valmin(x1, size) | x5 = sizefilter(x2, x4) | x6 = recolor(ONE, x3) | x7 = merge(x5) | x8 = paint(I, x6) | O = fill(x8, EIGHT, x7)"
146,662c240a,541,18.706580721153518,13,REPAIRED,Equal:2;Squeeze:2;Where:2;Concat:2;Conv:1;Split:1;Add:1;Slice:1;Pad:1,"x1 = vsplit(I, THREE) | x2 = fork(equality, dmirror, identity) | x3 = compose(flip, x2) | O = extract(x1, x3)"
147,67385a82,532,18.723356510658355,3,baseline,Slice:1;Conv:1;ScatterElements:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, THREE) | x3 = sizefilter(x2, ONE) | x4 = difference(x2, x3) | x5 = merge(x4) | O = fill(I, EIGHT, x5)"
148,673ef223,6007,16.29931926514984,62,baseline,Cast:15;Slice:10;And:8;Mul:4;Where:4;ReduceMax:3;ArgMax:3;Sub:3;Concat:3;Or:2;Add:2;Less:1;Greater:1;ScatterElements:1;Pad:1;Equal:1,"x1 = objects(I, T, F, T) | x2 = ofcolor(I, EIGHT) | x3 = replace(I, EIGHT, FOUR) | x4 = colorfilter(x1, TWO) | x5 = argmin(x1, uppermost) | x6 = apply(uppermost, x4) | x7 = fork(subtract, maximum, minimum) | x8 = x7(x6) | x9 = toivec(x8) | x10 = leftmost(x5) | x11 = equality(x10, ZERO) | x12 = branc"
149,6773b310,338,19.17695410451698,2,REPAIRED,Conv:2,"x1 = compress(I) | x2 = neighbors(ORIGIN) | x3 = insert(ORIGIN, x2) | x4 = rbind(multiply, THREE) | x5 = apply(x4, x3) | x6 = astuple(FOUR, FOUR) | x7 = shift(x5, x6) | x8 = fork(insert, identity, neighbors) | x9 = apply(x8, x7) | x10 = rbind(toobject, x1) | x11 = apply(x10, x9) | x12 = rbind(colorc"
150,67a3c6ac,158,19.937404966973034,4,baseline,ReduceL2:1;Cast:1;Sub:1;Gather:1,O = vmirror(I)
151,67a423a3,900,18.197605236675688,1,baseline,Conv:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, T) | x3 = colorfilter(x2, x1) | x4 = merge(x3) | x5 = delta(x4) | x6 = first(x5) | x7 = neighbors(x6) | O = fill(I, FOUR, x7)"
152,67e8384a,458,18.873130815885816,2,baseline,Slice:1;Einsum:1,"x1 = vmirror(I) | x2 = hconcat(I, x1) | x3 = hmirror(x2) | O = vconcat(x2, x3)"
153,681b3aeb,795,18.32165788534567,49,baseline,Cast:7;Reshape:6;Add:5;Mod:4;Where:4;Slice:3;Equal:3;ArgMax:2;Gather:2;Div:2;Concat:2;Einsum:2;ReduceMax:2;MaxPool:1;Mul:1;Not:1;Or:1;Pad:1,"x1 = rot270(I) | x2 = objects(x1, T, F, T) | x3 = argmax(x2, size) | x4 = argmin(x2, size) | x5 = color(x4) | x6 = canvas(x5, THREE_BY_THREE) | x7 = normalize(x3) | x8 = paint(x6, x7) | O = rot90(x8)"
154,6855a6e4,2760,17.077014041288805,32,baseline,Slice:7;Cast:7;Where:6;Gather:4;Pad:4;Concat:2;Max:1;Equal:1,"x1 = fgpartition(I) | x2 = rot90(I) | x3 = colorfilter(x1, TWO) | x4 = first(x3) | x5 = portrait(x4) | x6 = branch(x5, I, x2) | x7 = objects(x6, T, F, T) | x8 = colorfilter(x7, FIVE) | x9 = apply(center, x8) | x10 = valmin(x9, first) | x11 = compose(first, center) | x12 = matcher(x11, x10) | x13 = c"
155,68b16354,158,19.937404966973034,4,baseline,ReduceL2:1;Cast:1;Sub:1;Gather:1,O = hmirror(I)
156,694f12f3,1744,17.536063395531073,26,baseline,Gather:4;Less:4;Where:4;And:2;Or:2;Pad:2;Slice:1;Cast:1;AveragePool:1;Greater:1;Einsum:1;LessOrEqual:1;BitShift:1;Equal:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, FOUR) | x3 = compose(backdrop, inbox) | x4 = argmin(x2, size) | x5 = argmax(x2, size) | x6 = x3(x4) | x7 = x3(x5) | x8 = fill(I, ONE, x6) | O = fill(x8, TWO, x7)"
157,6a1e5592,8332,15.972141197619138,494,baseline,And:68;Gather:57;Concat:48;Cast:39;Add:36;Reshape:32;Greater:31;Unsqueeze:29;Where:21;ReduceSum:19;Split:18;ArgMax:17;Or:17;Div:12;Equal:10;Mul:8;Sub:7;Less:5;Slice:4;ScatterElements:4;Squeeze:2;ReduceMax:2;TopK:2;Xor:2;Not:2;Transpose:1;Pad:1,"x1 = width(I) | x2 = objects(I, T, F, T) | x3 = astuple(FIVE, x1) | x4 = crop(I, ORIGIN, x3) | x5 = colorfilter(x2, FIVE) | x6 = merge(x5) | x7 = cover(I, x6) | x8 = compose(toindices, normalize) | x9 = apply(x8, x5) | x10 = asindices(x4) | x11 = ofcolor(x4, ZERO) | x12 = ofcolor(x4, TWO) | x13 = rb"
158,6aa20dc0,35327,14.52759717692328,81,baseline,Gather:13;Equal:11;QLinearConv:9;Cast:8;Reshape:7;Where:6;Slice:5;Not:4;ArgMax:3;Greater:3;Or:2;And:2;Add:2;ReduceSum:1;Conv:1;Mul:1;Concat:1;Max:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = argmax(x1, numcolors) | x3 = normalize(x2) | x4 = lbind(matcher, first) | x5 = compose(x4, mostcolor) | x6 = fork(sfilter, identity, x5) | x7 = fork(difference, identity, x6) | x8 = lbind(rbind, upscale) | x9 = interval(ONE, FOUR, ONE) | x10 = apply(x8, x9) | x11 = in"
159,6b9890af,1568,17.642443799089648,33,baseline,Cast:6;Einsum:5;Sub:3;Pad:3;Gather:3;Div:2;Log:2;Mul:2;Add:2;Unsqueeze:1;Concat:1;Slice:1;Where:1;Equal:1,"x1 = objects(I, T, T, T) | x2 = ofcolor(I, TWO) | x3 = argmin(x1, size) | x4 = subgrid(x2, I) | x5 = width(x4) | x6 = divide(x5, THREE) | x7 = upscale(x3, x6) | x8 = normalize(x7) | x9 = shift(x8, UNITY) | O = paint(x4, x9)"
160,6c434453,1334,17.804062773524432,7,baseline,QLinearConv:3;Slice:1;Cast:1;MaxPool:1;Concat:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, EIGHT) | x3 = dneighbors(UNITY) | x4 = insert(UNITY, x3) | x5 = merge(x2) | x6 = cover(I, x5) | x7 = apply(ulcorner, x2) | x8 = lbind(shift, x4) | x9 = mapply(x8, x7) | O = fill(x6, TWO, x9)"
161,6cdd2623,4088,16.684188868116458,30,baseline,Greater:6;ReduceSum:5;Where:4;Slice:3;And:2;Add:2;Cast:2;Gather:2;Less:1;ArgMax:1;Max:1;Equal:1,"x1 = leastcolor(I) | x2 = ofcolor(I, x1) | x3 = prapply(connect, x2, x2) | x4 = fgpartition(I) | x5 = merge(x4) | x6 = cover(I, x5) | x7 = fork(either, hline, vline) | x8 = box(x5) | x9 = rbind(difference, x8) | x10 = chain(positive, size, x9) | x11 = fork(both, x7, x10) | x12 = mfilter(x3, x11) | O"
162,6cf79266,4068,16.68909324283155,7,baseline,Slice:1;Cast:1;QLinearConv:1;MaxPool:1;Greater:1;Pad:1;Where:1,"x1 = ofcolor(I, ZERO) | x2 = astuple(ZERO, ORIGIN) | x3 = initset(x2) | x4 = upscale(x3, THREE) | x5 = toindices(x4) | x6 = lbind(shift, x5) | x7 = rbind(difference, x1) | x8 = chain(size, x7, x6) | x9 = matcher(x8, ZERO) | x10 = lbind(add, NEG_UNITY) | x11 = chain(flip, x9, x10) | x12 = fork(both, "
163,6d0160f0,2345,17.23995931911962,26,baseline,Gather:4;Cast:3;Slice:2;ReduceMax:2;ArgMax:2;Mod:2;Sub:2;Unsqueeze:2;Pad:2;Concat:1;Add:1;Conv:1;Where:1;Equal:1,"x1 = ofcolor(I, FOUR) | x2 = first(x1) | x3 = first(x2) | x4 = last(x2) | x5 = greater(x3, THREE) | x6 = greater(x3, SEVEN) | x7 = greater(x4, THREE) | x8 = greater(x4, SEVEN) | x9 = branch(x5, FOUR, ZERO) | x10 = branch(x6, EIGHT, x9) | x11 = branch(x7, FOUR, ZERO) | x12 = branch(x8, EIGHT, x11) | "
164,6d0aefbc,30,21.598802618337846,1,baseline,Gather:1,"x1 = vmirror(I) | O = hconcat(I, x1)"
165,6d58a25d,6066,16.289545311751475,26,baseline,Cast:5;Slice:2;And:2;ReduceMax:2;ArgMax:2;Add:2;Concat:2;Equal:1;QLinearConv:1;Greater:1;ConvTranspose:1;Pad:1;Gather:1;Flatten:1;GatherND:1;Where:1,"x1 = objects(I, T, T, T) | x2 = argmax(x1, size) | x3 = remove(x2, x1) | x4 = merge(x3) | x5 = color(x4) | x6 = uppermost(x2) | x7 = rbind(greater, x6) | x8 = compose(x7, uppermost) | x9 = rbind(vmatching, x2) | x10 = fork(both, x9, x8) | x11 = sfilter(x3, x10) | x12 = increment(x6) | x13 = rbind(gr"
166,6d75e8bb,24,21.821946169652055,1,baseline,Einsum:1,"x1 = objects(I, T, F, T) | x2 = first(x1) | x3 = ulcorner(x2) | x4 = subgrid(x2, I) | x5 = replace(x4, ZERO, TWO) | x6 = asobject(x5) | x7 = shift(x6, x3) | O = paint(I, x7)"
167,6e02f1e3,148,20.002787726235887,4,baseline,Einsum:3;Concat:1,"x1 = numcolors(I) | x2 = canvas(ZERO, THREE_BY_THREE) | x3 = equality(x1, THREE) | x4 = equality(x1, TWO) | x5 = branch(x3, TWO_BY_ZERO, ORIGIN) | x6 = branch(x4, TWO_BY_TWO, ZERO_BY_TWO) | x7 = connect(x5, x6) | O = fill(x2, FIVE, x7)"
168,6e19193c,2239,17.286215383401245,16,baseline,QLinearConv:8;Cast:2;Slice:1;ReduceMax:1;Mul:1;Max:1;Pad:1;Where:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, T) | x3 = rbind(toobject, I) | x4 = compose(first, delta) | x5 = rbind(colorcount, x1) | x6 = matcher(x5, TWO) | x7 = chain(x6, x3, dneighbors) | x8 = rbind(sfilter, x7) | x9 = chain(first, x8, toindices) | x10 = fork(subtract, x4, x9) | x11 = fork(shoot, x"
169,6e82a1ae,1670,17.5794210945892,10,baseline,QLinearConv:4;Where:2;Slice:1;Cast:1;Equal:1;Concat:1,"x1 = objects(I, T, F, T) | x2 = lbind(sizefilter, x1) | x3 = compose(merge, x2) | x4 = x3(TWO) | x5 = x3(THREE) | x6 = x3(FOUR) | x7 = fill(I, THREE, x4) | x8 = fill(x7, TWO, x5) | O = fill(x8, ONE, x6)"
170,6ecd11f4,2545,17.158114071015376,58,baseline,Unsqueeze:9;Cast:8;Concat:6;Add:4;Slice:3;ArgMin:3;Sub:3;Where:3;Conv:2;Squeeze:2;ArgMax:2;Gather:2;Equal:2;Greater:1;Div:1;Mul:1;ReduceMin:1;GatherND:1;Range:1;Less:1;And:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = argmax(x1, size) | x3 = argmin(x1, size) | x4 = subgrid(x2, I) | x5 = subgrid(x3, I) | x6 = width(x4) | x7 = width(x5) | x8 = divide(x6, x7) | x9 = downscale(x4, x8) | x10 = ofcolor(x9, ZERO) | O = fill(x5, ZERO, x10)"
171,6f8cd79b,910,18.186555400489105,1,baseline,Conv:1,"x1 = asindices(I) | x2 = apply(initset, x1) | x3 = rbind(bordering, I) | x4 = mfilter(x2, x3) | O = fill(I, EIGHT, x4)"
172,6fa7a44f,30,21.598802618337846,1,baseline,Gather:1,"x1 = hmirror(I) | O = vconcat(I, x1)"
173,72322fa7,17646,15.22173559221795,120,baseline,Gather:19;Equal:14;Add:13;Cast:11;Where:11;Greater:8;And:8;Reshape:5;ScatterElements:5;Slice:4;TopK:3;Max:3;Unsqueeze:3;ReduceMax:2;Pad:2;Min:2;Or:2;Concat:2;Conv:1;Div:1;Mul:1,"x1 = objects(I, F, T, T) | x2 = matcher(numcolors, ONE) | x3 = sfilter(x1, x2) | x4 = difference(x1, x3) | x5 = lbind(matcher, first) | x6 = compose(x5, mostcolor) | x7 = fork(sfilter, identity, x6) | x8 = fork(difference, identity, x7) | x9 = lbind(occurrences, I) | x10 = compose(x9, x7) | x11 = co"
174,72ca375d,8953,15.900256049365844,62,baseline,Cast:7;Gather:7;Squeeze:5;ArgMax:5;Sub:5;Reshape:5;Pad:3;Add:3;Unsqueeze:3;Equal:3;ReduceSum:2;ReduceMax:2;GatherElements:2;Less:2;And:2;Slice:1;TopK:1;Mul:1;Not:1;Xor:1;Concat:1,"x1 = objects(I, T, T, T) | x2 = totuple(x1) | x3 = rbind(subgrid, I) | x4 = apply(x3, x2) | x5 = apply(vmirror, x4) | x6 = papply(equality, x4, x5) | x7 = pair(x4, x6) | x8 = extract(x7, last) | O = first(x8)"
175,73251a56,1267,17.85559281967886,16,baseline,Cast:4;ArgMax:3;Slice:2;Max:1;ReduceMax:1;Squeeze:1;Sum:1;Mod:1;Equal:1;Gather:1,"x1 = dmirror(I) | x2 = papply(pair, I, x1) | x3 = lbind(apply, maximum) | x4 = apply(x3, x2) | x5 = mostcolor(x4) | x6 = replace(x4, ZERO, x5) | x7 = index(x6, ORIGIN) | x8 = shoot(ORIGIN, UNITY) | O = fill(x6, x7, x8)"
176,7447852a,240,19.519361076658008,1,baseline,Einsum:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = compose(last, center) | x4 = order(x2, x3) | x5 = size(x4) | x6 = interval(ZERO, x5, THREE) | x7 = rbind(contained, x6) | x8 = compose(x7, last) | x9 = interval(ZERO, x5, ONE) | x10 = pair(x4, x9) | x11 = sfilter(x10, x8) | x12 = mapply(fi"
177,7468f01a,3822,16.751470875199782,16,baseline,Conv:3;ArgMax:2;Cast:2;Flatten:2;Add:2;Sub:1;Concat:1;RoiAlign:1;Equal:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = first(x1) | x3 = subgrid(x2, I) | O = vmirror(x3)"
178,746b3537,763,18.362741968715543,35,baseline,Cast:6;Slice:6;Where:5;Reshape:3;Equal:3;Conv:2;Not:2;And:2;Gather:2;ReduceMax:1;Concat:1;TopK:1;Pad:1,"x1 = chain(size, dedupe, first) | x2 = x1(I) | x3 = equality(x2, ONE) | x4 = branch(x3, dmirror, identity) | x5 = x4(I) | x6 = objects(x5, T, F, F) | x7 = order(x6, leftmost) | x8 = apply(color, x7) | x9 = repeat(x8, ONE) | O = x4(x9)"
179,74dd1130,0,25.0,1,baseline,Transpose:1,O = dmirror(I)
180,75b8110e,210,19.65289246928253,1,baseline,Conv:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = tophalf(x1) | x4 = bottomhalf(x1) | x5 = tophalf(x2) | x6 = bottomhalf(x2) | x7 = rbind(ofcolor, ZERO) | x8 = fork(difference, asindices, x7) | x9 = fork(toobject, x8, identity) | x10 = x9(x5) | x11 = x9(x4) | x12 = x9(x6) | x13 = paint(x3, x12) | x14 = pa"
181,760b3cac,369,19.089203355959473,6,baseline,Slice:1;GatherND:1;Cast:1;Where:1;Mul:1;ScatterND:1,"x1 = ofcolor(I, FOUR) | x2 = ofcolor(I, EIGHT) | x3 = ulcorner(x1) | x4 = index(I, x3) | x5 = equality(x4, FOUR) | x6 = branch(x5, NEG_ONE, ONE) | x7 = multiply(x6, THREE) | x8 = tojvec(x7) | x9 = vmirror(x2) | x10 = shift(x9, x8) | O = fill(I, EIGHT, x10)"
182,776ffc46,6793,16.176352050808696,31,baseline,Cast:5;Reshape:4;Add:4;AveragePool:2;ArgMax:2;Gather:2;Equal:2;Conv:1;Mul:1;Greater:1;ReduceSum:1;QLinearConv:1;MaxPool:1;GreaterOrEqual:1;And:1;Where:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, FIVE) | x3 = fork(equality, toindices, box) | x4 = extract(x2, x3) | x5 = inbox(x4) | x6 = subgrid(x5, I) | x7 = asobject(x6) | x8 = matcher(first, ZERO) | x9 = compose(flip, x8) | x10 = sfilter(x7, x9) | x11 = normalize(x10) | x12 = toindices(x11) | x"
183,77fdfe62,1230,17.885230551633537,57,baseline,Slice:25;Where:14;Concat:9;Cast:4;Pad:3;Einsum:1;Equal:1,"x1 = ofcolor(I, EIGHT) | x2 = subgrid(x1, I) | x3 = replace(I, EIGHT, ZERO) | x4 = replace(x3, ONE, ZERO) | x5 = compress(x4) | x6 = width(x2) | x7 = halve(x6) | x8 = upscale(x5, x7) | x9 = ofcolor(x2, ZERO) | O = fill(x8, ZERO, x9)"
184,780d0b14,2520,17.167985819494533,16,baseline,Einsum:3;Sign:2;Conv:2;Relu:2;CumSum:2;Equal:2;Cast:2;Pad:1,"x1 = asindices(I) | x2 = objects(I, T, T, T) | x3 = rbind(greater, TWO) | x4 = compose(x3, size) | x5 = sfilter(x2, x4) | x6 = totuple(x5) | x7 = apply(color, x6) | x8 = apply(center, x6) | x9 = pair(x7, x8) | x10 = fill(I, ZERO, x1) | x11 = paint(x10, x9) | x12 = rbind(greater, ONE) | x13 = compose"
185,7837ac64,1961,17.418790173803654,41,baseline,Cast:6;Equal:5;Conv:4;Where:4;Slice:4;Pad:3;Less:2;ReduceMax:2;Min:2;ArgMax:2;Add:2;Gather:2;And:2;Mod:1,"x1 = fgpartition(I) | x2 = argmax(x1, size) | x3 = remove(x2, x1) | x4 = merge(x3) | x5 = subgrid(x4, I) | x6 = chain(color, merge, frontiers) | x7 = x6(I) | x8 = objects(x5, T, F, F) | x9 = colorfilter(x8, ZERO) | x10 = rbind(toobject, x5) | x11 = chain(x10, corners, outbox) | x12 = lbind(contained"
186,794b24be,103,20.365271011770364,5,baseline,GlobalLpPool:1;ReduceMax:1;Less:1;Where:1;Pad:1,"x1 = ofcolor(I, ONE) | x2 = size(x1) | x3 = decrement(x2) | x4 = canvas(ZERO, THREE_BY_THREE) | x5 = tojvec(x3) | x6 = connect(ORIGIN, x5) | x7 = equality(x2, FOUR) | x8 = insert(UNITY, x6) | x9 = branch(x7, x8, x6) | O = fill(x4, TWO, x9)"
187,7b6016b9,36814,14.486366513407333,48,baseline,MaxPool:14;Min:14;Cast:5;Where:3;Slice:2;Equal:2;And:2;Not:2;Conv:1;ReduceSum:1;Max:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = rbind(bordering, I) | x3 = compose(flip, x2) | x4 = mfilter(x1, x3) | x5 = fill(I, TWO, x4) | O = replace(x5, ZERO, THREE)"
188,7b7f7511,1185,17.92250194643077,51,baseline,Cast:9;And:9;Or:7;Slice:5;Split:5;ReduceMax:4;Equal:3;Not:2;Xor:2;Concat:2;QLinearConv:1;Where:1;Pad:1,"x1 = portrait(I) | x2 = branch(x1, tophalf, lefthalf) | O = x2(I)"
189,7c008303,915,18.18107593472448,25,baseline,Where:5;Cast:4;Add:4;Concat:4;GatherND:2;Slice:2;Conv:1;Resize:1;Equal:1;Pad:1,"x1 = ofcolor(I, THREE) | x2 = subgrid(x1, I) | x3 = ofcolor(x2, ZERO) | x4 = replace(I, THREE, ZERO) | x5 = replace(x4, EIGHT, ZERO) | x6 = compress(x5) | x7 = upscale(x6, THREE) | O = fill(x7, ZERO, x3)"
